electrode_number,E_EEG,E_Brain,position,position_marker,x,y,z,newX,newY,newZ,newPosition
83,E83,FP43,"[52.1990203857422,45.6258087158203,145.097137451172]",Y,136.2533722,147.9303436,162.5445251,140.5249939,148.4060059,167.2109985,"[140.5249939, 148.4060059, 167.2109985]"
84,E84,FP44,"[47.0755538940430,53.9104385375977,149.532592773438]",Y,137.5129089,138.5744019,164.4816132,142.7519989,136.5160065,168.7149963,"[142.7519989, 136.5160065, 168.7149963]"
85,E85,FP45,"[41.4154510498047,63.5958824157715,153.716369628906]",Y,140.2779694,127.6093369,166.8462219,142.0429993,130.0619965,169.8990021,"[142.0429993, 130.0619965, 169.8990021]"
86,E86,FP46,"[38.3068923950195,73.9600830078125,156.280609130859]",Y,142.474762,114.6949997,168.6289673,145.1690063,114.9560013,171.4060059,"[145.1690063, 114.9560013, 171.4060059]"
87,E87,FP47,"[40.9648284912109,84.5164413452148,159.357849121094]",Y,143.1509552,102.9149246,168.4878693,146.7590027,103.5790024,170.7570038,"[146.7590027, 103.5790024, 170.7570038]"
88,E88,FP48,"[43.0350494384766,94.8886108398438,162.072891235352]",Y,146.2962341,94.52012634,169.7748108,147.7610016,94.17849731,171.5590057,"[147.7610016, 94.17849731, 171.5590057]"
89,E89,FP49,"[46.0137977600098,104.572418212891,166.083709716797]",Y,123.245369,163.1776428,160.8474274,128.6710052,165.6470032,169.845993,"[128.6710052, 165.6470032, 169.845993]"
90,E90,FP50,"[47.9523506164551,114.578186035156,168.822174072266]",Y,126.4289246,153.6347046,163.8870544,133.4210052,161.3540039,169.8049927,"[133.4210052, 161.3540039, 169.8049927]"
91,E91,FP51,"[58.5950622558594,43.1522903442383,152.149795532227]",Y,129.3009644,144.7746277,166.9046936,137.1580048,147.8760071,171.6820068,"[137.1580048, 147.8760071, 171.6820068]"
92,E92,FP52,"[51.8025131225586,50.5501022338867,156.568374633789]",Y,128.7046204,133.4600983,168.2027283,140.1150055,132.2189941,171.2709961,"[140.1150055, 132.2189941, 171.2709961]"
93,E93,FP53,"[46.6023712158203,60.0489120483398,160.588714599609]",Y,133.4218445,121.468811,172.4955139,137.6660004,123.0029984,177.147995,"[137.6660004, 123.0029984, 177.147995]"
94,E94,FP54,"[45.8343009948731,71.8983917236328,163.734893798828]",Y,139.751236,109.109581,176.8291931,140.3159943,109.0910034,177.4259949,"[140.3159943, 109.0910034, 177.4259949]"
95,E95,FP55,"[46.2508697509766,81.3514556884766,166.169097900391]",Y,142.1121063,98.24658966,177.7924652,142.2890015,98.17539978,177.878006,"[142.2890015, 98.17539978, 177.878006]"
96,E96,FP56,"[47.4446945190430,90.9440460205078,168.202087402344]",Y,145.0329437,88.15193939,178.1229401,143.9230042,88.27010345,177.401001,"[143.9230042, 88.27010345, 177.401001]"
97,E97,FP57,"[49.5303573608398,99.9247436523438,171.146255493164]",Y,114.6217804,160.4399719,164.8377075,119.1220016,165.9149933,172.8500061,"[119.1220016, 165.9149933, 172.8500061]"
98,E98,FP58,"[54.2654190063477,110.377166748047,173.865188598633]",Y,119.6752625,150.8100891,170.1589355,122.9209976,155.6080017,177.2480011,"[122.9209976, 155.6080017, 177.2480011]"
99,E99,FP59,"[63.9780960083008,42.0952987670898,158.537872314453]",Y,121.933197,140.2696533,171.5968323,125.1200027,143.5910034,182.0970001,"[125.1200027, 143.5910034, 182.0970001]"
100,E100,FP60,"[57.7165222167969,49.4327468872070,163.168136596680]",Y,125.1199875,126.5757446,176.0247192,131.3910065,125.6579971,183.0509949,"[131.3910065, 125.6579971, 183.0509949]"
101,E101,FP61,"[53.5663566589356,57.9632339477539,167.457916259766]",Y,130.2315063,114.2930527,183.0526428,131.5370026,115.2979965,184.822998,"[131.5370026, 115.2979965, 184.822998]"
102,E102,FP62,"[51.6127929687500,68.1623916625977,169.715789794922]",Y,135.0488892,103.1786041,186.348114,133.1990051,102.9140015,184.3399963,"[133.1990051, 102.9140015, 184.3399963]"
103,E103,FP63,"[53.1607513427734,77.8108749389648,171.500625610352]",Y,138.0540924,90.90490723,185.1483002,137.5740051,90.93810272,183.8809967,"[137.5740051, 90.93810272, 183.8809967]"
104,E104,FP64,"[54.0082015991211,87.2688140869141,174.290069580078]",Y,139.8274689,80.85044861,184.7622223,137.6719971,83.3588028,181.8200073,"[137.6719971, 83.3588028, 181.8200073]"
